Price,Close,High,Low,Open,Volume,SMA_20,EMA_20,RSI
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA,,,
Date,,,,,,,,
2025-03-24,121.38140106201172,122.19120779583362,119.31188140429414,119.8517551027078,228452500,,121.38140106201172,
2025-03-25,120.66156768798828,121.26142480153007,118.89198043130345,120.5216012824151,167447200,,121.31284550258091,
2025-03-26,113.73320007324219,118.81199741904777,112.68344440410922,118.70203035263671,293463300,,120.59097450931056,
2025-03-27,111.40375518798828,114.42304053099558,110.6339399022949,111.32377219977147,236902100,,119.7160012406132,
2025-03-28,109.6441650390625,112.84341584506377,109.04430789656145,111.46373602695421,229872500,,118.75677874522742,
2025-03-31,108.35446166992188,110.9338556226425,103.6255803841977,105.10522740758995,299212700,,117.76608188091261,
2025-04-01,110.12405395507812,110.17403760023085,106.4449205320371,108.49443304563391,222614000,,117.0382696974998,
2025-04-02,110.39398193359375,111.95361956622256,106.76483994973236,107.26472214391917,220601200,,116.4054803866516,
2025-04-03,101.7760238647461,105.60511590388697,101.57606639857329,103.48562015563714,338769400,,115.01219881313679,
2025-04-04,94.28778076171875,100.10640942744341,92.08830207120735,98.88670323249266,532273800,,113.03844471300174,
2025-04-07,97.61698913574219,101.72602116602216,86.59958951154498,87.43938789235719,611041300,,111.56973465802464,
2025-04-08,96.27731323242188,105.82505852328022,94.43774279946976,103.78553826456235,476243400,,110.113313569872,
2025-04-09,114.30307006835938,115.07288532975399,97.50702445286697,98.86670469924479,612918300,,110.51233799829937,
2025-04-10,107.5446548461914,110.83388059600858,99.12664053501021,109.34423379452805,437812400,,110.22970150762242,38.58838553728046
2025-04-11,110.90386962890625,111.52372632761113,107.45468536211307,108.4744417347206,313417300,,110.29390799536374,41.81250091663723
2025-04-14,110.68392181396484,114.26308039077927,109.04430871921362,114.08312248391158,264705000,,110.33105216856384,42.141735383443944
2025-04-15,112.1735610961914,113.5932323217664,110.47396469045397,110.94385517244878,228966900,,110.50652920929028,48.65655649717997
2025-04-16,104.46538543701172,106.76484672728219,100.4263361362673,104.52537649088836,397016900,,109.93118218335898,44.530260615345526
2025-04-17,101.46607971191406,104.44538077133734,100.02642426353728,104.4253812132841,292517500,,109.12498194798327,43.676552135860696
2025-04-21,96.88717651367188,99.41657935183265,95.01761424618036,98.74673137333838,288501100,107.70412063598633,107.95947666852504,41.56246049394275
